"Date","Price","Open","High","Low","Vol.","Change %"
"12/02/2024","601.5000","601.5000","601.5000","601.5000","","0.46%"
"12/01/2024","598.7502","598.7502","598.7502","598.7502","","0.00%"
"11/30/2024","598.7502","598.7502","598.7502","598.7502","","0.00%"
"11/29/2024","598.7502","600.4707","600.4707","600.4207","","-0.01%"
"11/28/2024","598.8002","600.5207","600.5207","600.4707","","-0.01%"
"11/27/2024","598.8502","600.4707","600.5207","600.4707","","0.01%"
"11/26/2024","598.8002","600.5207","600.5207","600.4707","","-0.01%"
"11/25/2024","598.8502","600.4707","600.5207","600.4707","","0.01%"
"11/24/2024","598.8002","598.8002","598.8002","598.8002","","0.00%"
"11/23/2024","598.8002","598.8002","598.8002","598.8002","","0.00%"
"11/22/2024","598.8002","600.5207","600.5207","600.4707","","-0.01%"
"11/21/2024","598.8502","600.4707","600.5207","600.4707","","0.01%"
"11/20/2024","598.8002","600.5207","600.5207","600.4707","","-0.01%"
"11/19/2024","598.8502","600.4707","600.5207","600.4707","","0.01%"
"11/18/2024","598.8002","600.5207","600.5207","600.4707","","-0.01%"
"11/16/2024","598.8502","598.8502","598.8502","598.8502","","0.00%"
"11/15/2024","598.8502","600.4707","600.5207","600.4707","","0.01%"
"11/14/2024","598.8002","600.5207","600.5207","600.4707","","-0.01%"
"11/13/2024","598.8502","600.5207","600.5207","600.5207","","0.01%"
"11/12/2024","598.8002","600.5207","600.5207","600.4707","","-0.01%"
"11/11/2024","598.8502","600.4707","600.5207","600.4707","","0.01%"
"11/09/2024","598.8002","598.8002","598.8002","598.8002","","0.00%"
"11/08/2024","598.8002","600.5207","600.5207","600.4707","","-0.01%"
"11/07/2024","598.8502","600.4707","600.5207","600.4707","","0.01%"
"11/06/2024","598.8002","600.5207","600.5207","600.4707","","-0.01%"
"11/05/2024","598.8502","600.4707","600.5207","600.4707","","0.01%"
"11/04/2024","598.8002","600.5207","600.5207","600.4707","","-0.01%"
"11/02/2024","598.8502","598.8502","598.8502","598.8502","","0.00%"
"11/01/2024","598.8502","600.4707","600.5207","600.4707","","0.01%"
